epoch,train_loss,val_loss,val_lpips,val_ssim,val_psnr,lr,time_sec
1,1.624644,1.598417,0.207394,0.895143,19.934642,0.00100000,715.32
2,1.547344,1.533695,0.190168,0.903292,20.552150,0.00099878,712.18
3,1.510608,1.511475,0.176943,0.911214,21.103131,0.00100000,767.19
4,1.483570,1.489050,0.179200,0.906583,20.929271,0.00099867,768.24
5,1.451162,1.478560,0.178985,0.904131,20.805891,0.00099467,768.42
6,1.437510,1.464219,0.163095,0.916339,21.635464,0.00098804,770.47
7,1.419198,1.458557,0.166230,0.912861,21.412301,0.00097880,769.72
8,1.411281,1.462117,0.162274,0.916162,21.647237,0.00096701,768.03
9,1.403425,1.473665,0.160667,0.919692,21.826440,0.00095273,769.88
10,1.396537,1.467635,0.165357,0.914728,21.419196,0.00093603,770.40
11,1.388095,1.463864,0.164555,0.913857,21.265193,0.00091701,770.59
12,1.377869,1.468064,0.164939,0.916809,21.581759,0.00089576,772.02
13,1.373714,1.464392,0.164089,0.914946,21.403942,0.00087240,770.51
14,1.363524,1.457341,0.159722,0.917969,21.709267,0.00084705,769.02
15,1.354439,1.474955,0.162033,0.916216,21.474130,0.00081985,771.04
16,1.350201,1.465985,0.159188,0.918552,21.762724,0.00079095,770.14
17,1.335861,1.480063,0.161334,0.918488,21.639822,0.00076049,770.60
18,1.335405,1.478703,0.158377,0.918499,21.739180,0.00072865,772.21
19,1.326161,1.486461,0.165989,0.916027,21.338961,0.00069558,771.26
20,1.320172,1.477204,0.159338,0.917387,21.651929,0.00066147,771.77
21,1.309727,1.480695,0.162279,0.914917,21.371782,0.00062650,771.86
22,1.293155,1.483439,0.163254,0.914438,21.357026,0.00059086,770.81
23,1.287098,1.487700,0.163101,0.913036,21.248870,0.00055473,771.24
24,1.281838,1.497427,0.158042,0.917853,21.701255,0.00051831,770.91
25,1.276695,1.493526,0.164252,0.912938,21.204845,0.00048179,770.64
26,1.271353,1.490274,0.160756,0.914895,21.407214,0.00044537,770.29
27,1.264982,1.498928,0.158647,0.918275,21.730999,0.00040924,769.89
28,1.265776,1.497844,0.156919,0.918475,21.754256,0.00037360,772.60
29,1.265642,1.503357,0.160670,0.915150,21.446849,0.00033863,771.01
30,1.255996,1.500538,0.158012,0.918002,21.675263,0.00030452,772.45
31,1.245149,1.511846,0.157261,0.918777,21.775764,0.00027145,770.93
32,1.239721,1.516730,0.157691,0.919077,21.753751,0.00023961,772.15
33,1.236278,1.512301,0.158297,0.918009,21.699454,0.00020915,772.29
34,1.239036,1.513955,0.158390,0.918759,21.730127,0.00018025,770.78
35,1.232827,1.519436,0.158946,0.917233,21.632907,0.00015305,772.23
36,1.223153,1.519321,0.158156,0.917941,21.690340,0.00012770,771.57
37,1.220455,1.525023,0.157703,0.918340,21.732382,0.00010434,771.17
38,1.217458,1.527165,0.158856,0.918064,21.692622,0.00008309,771.61
39,1.216303,1.533826,0.157501,0.919253,21.771864,0.00006407,769.92
40,1.214988,1.525285,0.159797,0.916577,21.575865,0.00004737,770.54
41,1.212288,1.527536,0.158585,0.917716,21.663134,0.00003309,770.78
42,1.211502,1.527863,0.158745,0.917222,21.635443,0.00002130,771.24
43,1.210690,1.531846,0.158542,0.918005,21.687765,0.00001206,770.33
44,1.209483,1.532868,0.158770,0.917975,21.675350,0.00000543,772.44
45,1.210469,1.531266,0.158638,0.917902,21.683798,0.00000143,771.87
